                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     71,                0.74939,                0.40474,                0.91223,                0.97919,                0.97528,                0.99064,                0.80113,                0.77557,                 0.3512,                0.91451,               0.003169,               0.003169,               0.003169
                     72,                0.74432,                0.39932,                0.91007,                0.97984,                0.97577,                0.99097,                0.80196,                0.77446,                0.35058,                0.91564,                0.00307,                0.00307,                0.00307
                     73,                0.73849,                0.39538,                0.90811,                0.97919,                0.97427,                0.99103,                0.80144,                0.77395,                0.34901,                0.91649,               0.002971,               0.002971,               0.002971
                     74,                0.73409,                0.39144,                0.90892,                0.97832,                0.97716,                0.99135,                0.80259,                0.77405,                0.34761,                0.91637,               0.002872,               0.002872,               0.002872
                     75,                0.72837,                0.39015,                0.90338,                0.97779,                0.97698,                 0.9918,                0.80263,                0.77199,                0.34477,                0.91568,               0.002773,               0.002773,               0.002773
                     76,                0.72891,                0.38858,                0.90524,                0.97901,                0.97867,                0.99217,                 0.8047,                0.77017,                0.34362,                0.91504,               0.002674,               0.002674,               0.002674
                     77,                0.72176,                0.38703,                0.90339,                0.97601,                0.97985,                0.99176,                0.80518,                0.77137,                0.34269,                0.91367,               0.002575,               0.002575,               0.002575
                     78,                0.72277,                0.38468,                0.90274,                0.97693,                0.97946,                0.99169,                0.80548,                0.77101,                0.34237,                0.91291,               0.002476,               0.002476,               0.002476
                     79,                0.70923,                 0.3772,                0.89872,                0.97917,                0.97785,                0.99156,                0.80486,                0.77096,                 0.3424,                0.91255,               0.002377,               0.002377,               0.002377
                     80,                0.70568,                0.37441,                0.89901,                0.97802,                0.97873,                0.99144,                0.80576,                0.77022,                0.34177,                0.91173,               0.002278,               0.002278,               0.002278
                     81,                0.70933,                0.37903,                0.89989,                0.97989,                0.97745,                0.99119,                0.80518,                0.76761,                0.34038,                 0.9109,               0.002179,               0.002179,               0.002179
                     82,                0.70315,                0.37266,                 0.8953,                0.97896,                 0.9786,                0.99117,                0.80562,                 0.7664,                0.34005,                0.91032,                0.00208,                0.00208,                0.00208
                     83,                0.69063,                0.36624,                0.89425,                0.97875,                0.97912,                0.99139,                0.80741,                0.76627,                0.33903,                0.91033,               0.001981,               0.001981,               0.001981
                     84,                 0.6906,                0.36747,                0.89476,                0.97716,                0.97923,                0.99121,                 0.8073,                0.76579,                0.33816,                0.91084,               0.001882,               0.001882,               0.001882
                     85,                0.68086,                0.36134,                0.89293,                0.97736,                0.97924,                 0.9914,                0.80675,                0.76637,                0.33762,                0.91164,               0.001783,               0.001783,               0.001783
                     86,                0.68137,                0.35931,                0.89307,                0.97738,                0.97777,                0.99149,                0.80806,                0.76511,                0.33643,                0.91198,               0.001684,               0.001684,               0.001684
                     87,                0.68055,                0.36038,                0.89365,                0.98021,                0.97754,                0.99169,                 0.8086,                0.76408,                0.33551,                0.91224,               0.001585,               0.001585,               0.001585
                     88,                 0.6681,                 0.3521,                0.88797,                0.98069,                0.97732,                0.99175,                0.80986,                 0.7631,                0.33529,                0.91214,               0.001486,               0.001486,               0.001486
                     89,                0.66895,                 0.3496,                0.88965,                0.97955,                0.97914,                0.99165,                0.81019,                0.76298,                0.33453,                0.91268,               0.001387,               0.001387,               0.001387
                     90,                 0.6683,                0.35287,                0.88922,                0.97937,                0.97756,                0.99193,                0.81098,                 0.7622,                0.33379,                0.91291,               0.001288,               0.001288,               0.001288
                     91,                0.61668,                0.30993,                0.85092,                0.97888,                0.97744,                0.99207,                0.81045,                0.76207,                0.33372,                 0.9134,               0.001189,               0.001189,               0.001189
                     92,                0.60212,                0.30531,                0.84827,                0.98203,                0.97485,                0.99211,                0.81091,                0.76089,                0.33347,                0.91384,                0.00109,                0.00109,                0.00109
                     93,                0.59873,                0.30366,                0.84478,                0.97961,                0.97828,                0.99176,                0.81076,                0.75969,                0.33258,                0.91376,               0.000991,               0.000991,               0.000991
                     94,                0.58932,                0.29876,                0.84534,                0.97921,                0.97757,                0.99164,                0.81062,                0.75943,                0.33317,                0.91382,               0.000892,               0.000892,               0.000892
                     95,                 0.5848,                0.29498,                  0.844,                0.97981,                0.97741,                0.99155,                0.81091,                0.75883,                0.33253,                0.91398,               0.000793,               0.000793,               0.000793
                     96,                0.58075,                0.29133,                0.84281,                0.98036,                0.97858,                0.99156,                0.81158,                0.75849,                0.33188,                0.91405,               0.000694,               0.000694,               0.000694
                     97,                0.56946,                0.28486,                0.83984,                0.97913,                0.98006,                0.99183,                0.81206,                0.75858,                0.33175,                0.91392,               0.000595,               0.000595,               0.000595
                     98,                0.56884,                0.28391,                0.84056,                0.98117,                0.97634,                0.99155,                0.81198,                0.75808,                0.33138,                0.91392,               0.000496,               0.000496,               0.000496
                     99,                 0.5611,                0.27991,                 0.8398,                0.98188,                0.97589,                0.99153,                0.81237,                0.75806,                0.33062,                0.91416,               0.000397,               0.000397,               0.000397
                    100,                0.55537,                0.27641,                0.83952,                 0.9777,                0.98047,                0.99162,                0.81279,                0.75791,                0.33104,                0.91397,               0.000298,               0.000298,               0.000298
